№;Дата и время;Секунда;Микросекунда
223;2023-06-03 00:11:50.545991;50;545
224;2023-06-03 00:11:50.555999;50;555
225;2023-06-03 00:11:50.566005;50;566
226;2023-06-03 00:11:50.576012;50;576
227;2023-06-03 00:11:50.586019;50;586
228;2023-06-03 00:11:50.596026;50;596
229;2023-06-03 00:11:50.606031;50;606
230;2023-06-03 00:11:50.616038;50;616
231;2023-06-03 00:11:50.626046;50;626
232;2023-06-03 00:11:50.636052;50;636
233;2023-06-03 00:11:50.646058;50;646
234;2023-06-03 00:11:50.656065;50;656
235;2023-06-03 00:11:50.666074;50;666
236;2023-06-03 00:11:50.676078;50;676
237;2023-06-03 00:11:50.686086;50;686
238;2023-06-03 00:11:50.696094;50;696
239;2023-06-03 00:11:50.706099;50;706
240;2023-06-03 00:11:50.716105;50;716
241;2023-06-03 00:11:50.726111;50;726
242;2023-06-03 00:11:50.736118;50;736
243;2023-06-03 00:11:50.746125;50;746
244;2023-06-03 00:11:50.756131;50;756
245;2023-06-03 00:11:50.766137;50;766
246;2023-06-03 00:11:50.776145;50;776
247;2023-06-03 00:11:50.786152;50;786
248;2023-06-03 00:11:50.796160;50;796
249;2023-06-03 00:11:50.806169;50;806
250;2023-06-03 00:11:50.816175;50;816
251;2023-06-03 00:11:50.826182;50;826
252;2023-06-03 00:11:50.836975;50;836
253;2023-06-03 00:11:50.846978;50;846
254;2023-06-03 00:11:50.856990;50;856
255;2023-06-03 00:11:50.866994;50;866
256;2023-06-03 00:11:50.877004;50;877
257;2023-06-03 00:11:50.887888;50;887
258;2023-06-03 00:11:50.897907;50;897
259;2023-06-03 00:11:50.908907;50;908
260;2023-06-03 00:11:50.918914;50;918
261;2023-06-03 00:11:50.928921;50;928
262;2023-06-03 00:11:50.938928;50;938
263;2023-06-03 00:11:50.948934;50;948
264;2023-06-03 00:11:50.958941;50;958
265;2023-06-03 00:11:50.968947;50;968
266;2023-06-03 00:11:50.978958;50;978
267;2023-06-03 00:11:50.988975;50;988
268;2023-06-03 00:11:50.999100;50;999
269;2023-06-03 00:11:51.009108;51;9
270;2023-06-03 00:11:51.019205;51;19
271;2023-06-03 00:11:51.029214;51;29
272;2023-06-03 00:11:51.039219;51;39
273;2023-06-03 00:11:51.049225;51;49
274;2023-06-03 00:11:51.059232;51;59
275;2023-06-03 00:11:51.069239;51;69
276;2023-06-03 00:11:51.079247;51;79
277;2023-06-03 00:11:51.089252;51;89
278;2023-06-03 00:11:51.099269;51;99
279;2023-06-03 00:11:51.109592;51;109
280;2023-06-03 00:11:51.119605;51;119
281;2023-06-03 00:11:51.129616;51;129
282;2023-06-03 00:11:51.139627;51;139
283;2023-06-03 00:11:51.149633;51;149
284;2023-06-03 00:11:51.159641;51;159
285;2023-06-03 00:11:51.169647;51;169
286;2023-06-03 00:11:51.179717;51;179
287;2023-06-03 00:11:51.190704;51;190
288;2023-06-03 00:11:51.201417;51;201
289;2023-06-03 00:11:51.212424;51;212
290;2023-06-03 00:11:51.222431;51;222
291;2023-06-03 00:11:51.232448;51;232
292;2023-06-03 00:11:51.242454;51;242
293;2023-06-03 00:11:51.253254;51;253
294;2023-06-03 00:11:51.263260;51;263
295;2023-06-03 00:11:51.273267;51;273
296;2023-06-03 00:11:51.283579;51;283
297;2023-06-03 00:11:51.293866;51;293
298;2023-06-03 00:11:51.303874;51;303
299;2023-06-03 00:11:51.313879;51;313
300;2023-06-03 00:11:51.323892;51;323
